track_id,track_name,main_artist_name,duration_second
7AdBuHyc78SDvPjddieyaf,I Know How You Get,Mk.gee,290
3QaQdu5eivGbFLL8YKmstX,Snö (Intro),Snail's House,73
3O8X1DE9btbzy4UH9cSX9a,Borderline,Tame Impala,274
278JqkBGkjDovOYAwE8TW7,115万キロのフィルム,Official HIGE DANdism,324
2UZFiaS3zujG1OuGfPSmoT,Canaria,ReoNa,287
6z9tknbgyohPSg6g7krPlI,Platonique,Snail's House,219
3u0e8pyoVc7l2u3T5thohY,空の青さを知る人よ,Aimyon,304
2iGt8kJKM7cUF9TEr50XGF,めんたいコズミック,Yunomi,224
5BC6kr6etk2Y9J62AyI4i3,青と夏,Mrs. GREEN APPLE,270
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,173
2Vt5LfLccwjF3PJujVZ1qi,Pastel (feat. Snail's House),Moe Shop,246
7kv7zBjMtVf0eIJle2VZxn,Southern Nights,Glen Campbell,180
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,200
361a7ybPctuTnUYjQPGifZ,ねこバス,All That Jazz,233
3xywWqxEoVGY3oaD5Beg6e,アオイハルカゼ,H△G,270
4zu6g7gsPwiATpb4VKS9FO,Fais rien (Petit Biscuit Remix),Moi Je,227
1NkiR42rILTQYYEGs7izYv,Umbrella,King Gnu,202
6NLuoenTHmHaD5bxqeeCpq,海の見える街,All That Jazz,224
5SHguvOUbyPTINNjCvRo8K,春愁,Mrs. GREEN APPLE,183
5Fli1xRi01bvCjsZvKWro0,Houdini,Foster The People,202
6kKvmT4i0Dercz6f3kftg3,今夜このまま,Aimyon,238
7MhJmtlNl6R0oppdG59CaI,Stand By You,Official HIGE DANdism,256
6qspW4YKycviDFjHBOaqUY,Waterfalls,TLC,279
0jHe49rm4UhOPlxEAa2LHj,White Day,Snail's House,199
3A4Najtnflk9RIdkM34Njs,forget-me-not,ReoNa,266
2SYHRctVRbWT9X4wRQP1Pv,Stupid,G Flip,206
4TwVtW8hS5LyLoDtJGpUOg,History,88rising,207
2bDdTBc0qdyN4MIaA7w9B0,風の通り道,All That Jazz,215
28grzRrS5csyaI4uK98IX0,Homecoming Queen,Thelma Plum,231
2SsLcXEBuTZYv6mW1a3C53,Iris,Eir Aoi,247
396UBHzxhcRoNYiIjRzEM9,Talia,King Princess,207
4oMULMKG58bdtMSHtK2IA7,Lucky,Omar Apollo,162
6413UUgINHbZsCJeJBFlmT,I'm Just Snacking,Gus Dapperton,198
4C02ApV2DhjRKC9xRPs668,Meditjin,Baker Boy,178
5JbIiEY2Ttextq0Eoiw7qn,深い森,Do As Infinity,245
6Tof6kPUc2a17GKaKz4IXz,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",Thurl Ravenscroft,315
2yozZfRYHP7Elsymghu5t3,宿命,Official HIGE DANdism,280
4RkDFAZNUs1APBiiLTMQRh,Decoy,Friday Night Plans,171
4W1ha2UFapDHsk9ENhB3UU,Ito,Aimer,223
4f3nDjgqXurMryYBSp0TZD,The Beginning,ONE OK ROCK,292
5RbMlPFL4gVyEHW2lEOuzG,奏(かなで),Sukima Switch,328
0sSB7eVaUzVFGOXS53a3kf,Hoshino Nakano Kimi,Uru,254
5Lft98Xsgeb568V3bjRLCj,7 -Seven-,FLOW,260
2QilECqmzYBoI6yS5D8ftS,Salad Days,Mac DeMarco,145
3Yh9lZcWyKrK9GjbhuS0hR,Good as Hell,Lizzo,159
4dkMqDjuN7r9mOYpJtEUGt,Better Than Ever,Flight Facilities,183
64WsT14hhzXwbTEY1PntsU,Niji No Kanatani,ReoNa,293
1EqFAwG7ItSPLRVgbgK6iK,未来予想図II,Hideaki Tokunaga,369
1p0WZg4NXoNVGj2AuoLJe7,Netsujo No Spectrum,Ikimonogakari,223
1E75VDbTXfmoBNIAOMEmQC,Blind to you,Aimer,279
75scDPqGs75FotglJSoOI2,MIC Drop (Steve Aoki Remix) [Full Length Edition],BTS,307
7p30D2KjK2XW7YUvI6nH3o,Orange,7!!,350
1HyKEziXzDtvnlg3dTLos2,Torches,Aimer,292
57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),Wallows,178
2dEFuiICxAJl1dz8NhYFYB,トゲめくスピカ,POLKADOT STINGRAY,279
09oZ9eXQ2fo6YDrPzJqAoP,Outta My Head (with John Mayer),Khalid,177
74ZcoP9bqvEvCBJrpEQ3T6,Seven Doors,ZAQ,236
35KlorpQ6LQVVslvlcu1gN,Lemon,Kenshi Yonezu,256
7rve4q3HYr6aijd9o3agx1,HUMAN LOST - feat. J. Balvin,m-flo,282
5EwxWZ25HLyAeYZwlg2VGA,Arrietty's Song,All That Jazz,218
3Tr11VSTXqjTnFLyKlu3mU,X.U. (feat. Gemie),SawanoHiroyuki[nZk],283
1gk3FhAV07q9Jg77UxnVjX,Gooey,Glass Animals,289
6BGbt6NGG5LGGqKdwAzzS8,Perfume!,fusq,174
0F0ZWcPbCVMIk0LQNK1gey,Find Me,fhána,419
0wY9rA9fJkuESyYm9uzVK5,D'Evils,SiR,171
0JcI7OdALbpSFkyKoufRYs,ロマンチシズム,Mrs. GREEN APPLE,213
5sjoJa0YmBCCPMrBPsBMge,Departure!,Masatoshi Ono,257
15KgukclBuiZ3vZMaTh17g,アシタカせっ記,All That Jazz,260
4oHDZV4ySUYyiUx5fl6ZTG,Tout (sinon rien),Juniore,214
34s49nvRfQy1kzx7DBqVRC,真夏の夜の匂いがする,Aimyon,233
4c2cdWv3GLKoP12tY0OzZl,Exit Sign,Hilltop Hoods,223
1Yi8XPnCPoimWwqxwm3uz9,Longshot,Catfish and the Bottlemen,232
4qbYw78uTbZDU98qpRXG0c,Call On Me,Litany,222
3rysOpH29UDtPpv5W2pzWZ,小さな恋のうた,高木さん(CV:高橋李依),247
3sFGaWwzGpP9KmrzMVN30Q,世界の約束,All That Jazz,221
2ky2EF48bJyzdDf72AkhF6,Dem Beats,Todrick Hall,218
1ZpLKLfbjjVbKjxxmqTrzy,Circles,George Alice,184
6kcHg7XL6SKyPNd78daRBL,Sweet Talk,Saint Motel,192
2T64m94VBrsEISkAYq6Cnq,Cooks,Still Woozy,174
79YEoOgd4KcZIUOau5q1ub,めぐる季節,All That Jazz,247
4HRlnQdOhl9iE7HEChm4Nn,Lost in the Woods - Weezer Version,Weezer,182
5DMEvbg3gUmiR5HIBWdveV,ノーダウト,Official HIGE DANdism,202
